ano,sigla_uf,id_municipio,area_total,area_proprietario,area_arrendatario,area_parceiro,area_ocupante,area_lavoura_permanente,area_lavoura_temporaria,area_pastagem_natural,area_pastagem_plantada,area_pastagem,area_mata_natural,area_mata_plantada,area_sistema_agroflorestal,area_mata,area_nao_utilizada,quantidade_estabelecimentos,producao_cafe,area_cafe,quantidade_estabelecimentos_cafe,valor_total_producao_cafe,quantidade_bovinos_total,quantidade_bezerros,quantidade_bovinos_garrote,quantidade_bovinos_vaca,quantidade_bovinos_trabalho,quantidade_bovinos_touro,quantidade_estabelecimentos_energia_eletrica,despesa_total,despesa_adubos,despesa_sementes,despesa_arrendamentos,despesa_salarios,despesa_defensivos,despesa_cotas,areas_irrigacao,producao_leite,numero_estabelecimentos_total,numero_estabelecimentos_proprietario,numero_estabelecimentos_arrendatario,numero_estabelecimentos_parceiros,numero_estabelecimentos_ocupantes,numero_estabelecimentos_outros,numero_estabelecimentos_nenhuma,numero_estabelecimentos_cooperativas,numero_estabelecimentos_cooperativas_credito,numero_estabelecimentos_cooperativa_energia_eletrica,numero_estabelecimentos_cooperativa_energia_outras,quantidade_tratores,quantidade_maquina_colheita,quantidade_maquinas_plantio,quantidade_tratores_estabelecimentos_menor_10,quantidade_tratores_estabelecimentos_maior_10,pessoal_ocupado_total,pessoal_ocupado_parentesco_produtor,pessoal_14_mais_sem_parentesco,pessoal_14_mais_com_parentesco_produtor,pessoal_14_mais_empregadas,pessoal_14_mais_ocupado,valor_producao_total,valor_producao_total_animal,valor_total_producao_animal_grande,valor_total_producao_animal_medio,valor_total_producao_aves,valor_total_producao_vegetal,valor_total_producao_hortifruti,valor_total_producao_silvicultura,valor_total_producao_vegicultura,valor_total_producao_lavoura_temporaria,valor_total_producao_lavoura_permanente,producao_total_arroz,producao_total_feijao,producao_total_milho,producao_total_mandioca,producao_total_soja,producao_total_algodao,producao_total_cana,producao_total_trigo,area_arroz,area_feijao,area_milho,area_mandioca,area_soja,area_algodao,area_cana,area_trigo,numero_estabelecimentos_arroz,numero_estabelecimentos_feijao,numero_estabelecimentos_milho,numero_estabelecimentos_mandioca,numero_estabelecimentos_soja,numero_estabelecimentos_algodao,numero_estabelecimentos_cana,numero_estabelecimentos_trigo,valor_total_arroz,valor_total_feijao,valor_total_milho,valor_total_mandioca,valor_total_soja,valor_total_algodao,valor_total_cana,valor_total_trigo,valor_total,valor_total_terras,valor_total_cultura_permanente,valor_total_matas_plantadas,valor_total_predios_benfeitorias,valor_total_animais,valor_total_animais_transporte,valor_total_maquinas_transporte,proporcao_despesa_fertilizante,proporcao_despesa_defensivos,proporcao_despesa_sementes,proporcao_despesa_salarios
1996,RO,1100015,"422541,34",,,,,,,,,,,,,,1,4691,,2793,,162835,538,,,,,,,,"18,271",6736731,4526,2994,240,472,820,0,247,76,18,15406,11683,,,,,,,,0,,,,3988,10225,11006,1342,0,53,19,0,,,,"103,425",0,"34,814","0,36",0,2413,3502,2846,316,0,27,23,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100015,"295021,75",,,,"2981,75",,,,,,,,,,33,,1122,248,,276448,55812,112251,84505,570,4603,1817,,,,,,,0,,,2455,2140,34,173,206,0,2427,0,0,0,0,265,0,0,6836,708,7544,6031,697,6728,,,,,,,,,,,,,,,,0,0,"55,92",0,1320,13360,4290,137,0,0,5,0,574,1171,1035,186,0,0,15,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100015,372746,360839,6150,822,2690,6067,2088,24758,213590,238348,108944,258,10481,109202,6560,178,334,216,112,1415,319811,2598,155230,4257,6277,4387,13460,8517,,3317,10348,2886,2582,46,42,35,181,1895,517,17,93,6560,1990,8550,6052,1952,8004,191374,147690,137402,554,9654,43684,967,3113,105,11133,28248,54,697,5479,462,2800,0,52,0,43,828,1543,114,871,0,4,0,54,533,598,191,3,0,12,0,97,1693,4787,765,2855,0,132,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100023,,"682505,25",,,,,,,,,"696514,75",,"696660,25",,64,,12039,4343,,71654,13007,31022,25123,341,2161,94,,,,,,,,"8,324",,10598,5108,98,1503,3889,0,10365,144,27,1,74,117,46,32,21,96,37879,6946,44825,26436,6760,33196,,,,,,,,,,,,"14160,41","809,12","5556,73",,"40,32","8,4","146,65",0,11763,2186,5166,398,27,10,10,0,3254,1229,1776,394,10,4,34,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100023,,,,,,,,,,,,,,,12,2870,"4295,88",1075,,150832,632,,,,,,,,"32,686",6952246,2090,1927,28,115,20,0,161,5,10,10368,7646,,,,,,,,0,,,,2459,246,2863,427,0,0,15,0,,,,"34,354",0,0,247,0,857,449,906,146,0,0,9,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100023,"359879,88",,,,,,,"1595,75",,,133501,"1115,75","134616,75",,111,,1056,342,,344500,73793,141167,95442,1650,9537,2286,,,,,,,0,,,3005,2545,34,33,410,0,2880,0,0,0,0,263,0,0,7626,898,8524,6691,814,7505,,,,,,,,,,,,"2003,2",,,,0,0,"75,79",0,1296,315,692,1045,0,0,20,0,207,145,299,321,1,0,31,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100023,334256,306268,9619,2478,13315,5235,5341,0,221786,221786,88865,615,1573,89480,10692,320,0,0,0,0,317996,2772,188213,6781,803,3214,15402,5524,,270,19806,2928,2303,66,16,391,152,2424,501,32,54,6054,1028,7082,5777,989,6766,153569,131896,100973,1700,29223,21673,2080,0,0,14510,4650,594,19,3440,843,9553,0,952,0,179,18,1282,275,3184,0,30,0,18,123,285,700,17,0,191,0,467,58,1741,1021,9157,0,881,0,,,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100031,,,,,,,,,,,,,,,1,53,"60,098",173,,79288,161,,,,,,,,"5,34",5480547,1154,1150,1,1,2,0,67,2,8,4960,3633,,,,,,,,0,,,,1446,264,2359,572,0,0,455,0,,,,"31,215",0,0,"12,562",0,655,323,640,179,0,0,89,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100031,"106652,9",,,,,,,,,,,0,,,31,,40,22,,117784,21614,42905,42151,24,1356,804,,,,,,,0,,,1016,967,51,10,25,0,994,0,0,0,0,147,0,0,2485,174,2659,2342,172,2514,,,,,,,,0,,,,"4673,25",,,117,"11061,8",0,"190,128",0,2488,43,2499,39,4537,0,21,0,81,28,159,38,24,0,29,0,,,,,,0,,0,,,,0,,,,,,,,,,,
2017,RO,1100031,113085,96327,15105,0,0,4637,30451,5041,52811,57852,17271,593,0,17864,1325,176,1,8,5,7,113277,880,151613,24922,5890,11958,7515,14730,,1995,9328,1075,961,92,8,1,13,921,247,67,61,2214,871,3085,2090,578,2668,146924,48275,45496,626,2153,98649,0,0,0,97393,1165,9185,0,49175,283,73522,0,74,0,4177,0,13611,34,24751,0,4,0,6,0,65,91,56,0,17,0,6966,0,17672,655,70275,0,201,0,,,,,,,,,,,,,,,,,,,,,,,
